sample_dt,do_mg_per_L,turbidity_cm,ph,ammonia_mg_per_L,pond_id,do_in_range,ph_in_range,ammonia_in_range,turbidity_in_range,morning,time_of_day,ds
2023-10-10 06:34:00+05:30,3.6,30.0,8.13,0.09,NL-BJD1,within,within,within,within,True,morning,train
2023-10-10 16:40:00+05:30,9.8,,8.32,,NL-BJD1,within,within,,,False,evening,train
2023-11-16 07:01:00+05:30,3.6,29.0,8.04,0.07,NL-BJD1,within,within,within,within,True,morning,train
2023-11-16 16:11:00+05:30,10.8,,8.32,,NL-BJD1,within,within,,,False,evening,train
2023-12-16 07:21:00+05:30,3.4,30.0,8.0,0.1,NL-BJD1,within,within,within,within,True,morning,train
2023-12-16 16:37:00+05:30,9.1,30.0,8.25,0.1,NL-BJD1,within,within,within,within,False,evening,train
2024-01-05 07:38:00+05:30,3.3,28.0,8.11,0.16,NL-BJD1,within,within,within,within,True,morning,train
2024-01-05 16:36:00+05:30,9.2,28.0,8.32,0.16,NL-BJD1,within,within,within,within,False,evening,train
2024-02-06 07:15:00+05:30,2.5,28.0,8.09,0.19,NL-BJD1,below,within,within,within,True,morning,train
2024-02-06 16:03:00+05:30,8.3,28.0,8.35,0.19,NL-BJD1,within,within,within,within,False,evening,train
2024-03-05 07:19:00+05:30,3.2,30.0,8.41,0.14,NL-BJD1,within,within,within,within,True,morning,train
2024-03-05 16:53:00+05:30,8.5,30.0,8.63,0.14,NL-BJD1,within,above,within,within,False,evening,train
2024-04-05 06:52:00+05:30,3.3,29.0,8.14,0.12,NL-BJD1,within,within,within,within,True,morning,train
2024-04-05 16:58:00+05:30,8.4,29.0,8.44,0.12,NL-BJD1,within,within,within,within,False,evening,train
2024-04-19 06:38:00+05:30,3.5,20.0,8.26,0.14,NL-BJD1,within,within,within,within,True,morning,train
2024-04-19 16:58:00+05:30,8.9,28.0,8.47,0.14,NL-BJD1,within,within,within,within,False,evening,train
2024-05-03 06:51:00+05:30,3.3,28.0,8.19,0.22,NL-BJD1,within,within,within,within,True,morning,train
2024-05-03 17:18:00+05:30,8.4,28.0,8.39,0.22,NL-BJD1,within,within,within,within,False,evening,train
2024-05-17 07:15:00+05:30,3.2,29.0,8.23,0.24,NL-BJD1,within,within,within,within,True,morning,train
2024-05-17 17:19:00+05:30,7.1,29.0,8.46,0.24,NL-BJD1,below,within,within,within,False,evening,train
2022-02-07 07:20:00+05:30,4.35,34.0,8.12,0.0,NL-BNG1,within,within,within,within,True,morning,train
2022-02-07 17:30:00+05:30,8.95,34.0,8.34,,NL-BNG1,within,within,,within,False,evening,train
2022-02-21 07:28:00+05:30,4.4,34.0,7.77,0.0,NL-BNG1,within,within,within,within,True,morning,train
2022-02-21 17:40:00+05:30,10.9,34.0,8.09,,NL-BNG1,within,within,,within,False,evening,train
