sample_idx,sample_dt,pond_id,region,farm,morning,hour,do_mg_per_L,ph,turbidity_cm,ammonia_mg_per_L,do_winkler,prev_matches_time,prev_sample_dt,prev_do_mg_per_L,prev_ph,prev_turbidity_cm,prev_ammonia_mg_per_L,prev_individuals_air_gulping,prev_individuals_tail_splashing,prev_dead_fish,prev_feed_amount_kg,prev_stocking_density_per_acre,prev_weight,prev_species_catla,prev_species_rohu,prev_species_roopchand,prev_species_grass_carp,prev_species_pangasius,prev_species_whiteleg_shrimp
8518,2025-01-13 07:49:00+05:30,NL-BJD1,NL,NL-BJD,True,7,3.7,8.01,,0.26,True,,,,,,,,,,,,,,,,,,
8519,2025-01-13 15:39:00+05:30,NL-BJD1,NL,NL-BJD,False,15,8.4,8.31,,,True,,,,,,,,,,,,,,,,,,
8806,2025-02-10 07:11:00+05:30,NL-BJD1,NL,NL-BJD,True,7,3.5,7.98,,0.18,True,True,2025-01-13 07:49:00+05:30,3.7,8.01,,0.26,0.0,0.0,0.0,50.0,3448.0,400.0,True,True,False,False,False,False
8807,2025-02-10 15:58:00+05:30,NL-BJD1,NL,NL-BJD,False,15,8.7,8.3,,,True,True,2025-01-13 15:39:00+05:30,8.4,8.31,,,0.0,0.0,0.0,,3448.0,400.0,True,True,False,False,False,False
9122,2025-03-12 07:29:00+05:30,NL-BJD1,NL,NL-BJD,True,7,2.4,8.03,,0.11,True,True,2025-02-10 07:11:00+05:30,3.5,7.98,,0.18,0.0,0.0,0.0,50.0,3448.0,500.0,True,True,False,False,False,False
9123,2025-03-12 17:12:00+05:30,NL-BJD1,NL,NL-BJD,False,17,7.2,8.36,,,True,True,2025-02-10 15:58:00+05:30,8.7,8.3,,,0.0,0.0,0.0,,3448.0,500.0,True,True,False,False,False,False
8432,2025-01-04 07:08:00+05:30,NL-CHS1,NL,NL-CHS,True,7,1.7,8.03,,0.37,True,,,,,,,,,,,,,,,,,,
8433,2025-01-04 16:03:00+05:30,NL-CHS1,NL,NL-CHS,False,16,5.4,8.37,,,True,,,,,,,,,,,,,,,,,,
8802,2025-02-08 07:18:00+05:30,NL-CHS1,NL,NL-CHS,True,7,4.5,7.71,,0.24,True,True,2025-01-04 07:08:00+05:30,1.7,8.03,,0.37,0.0,0.0,0.0,40.0,3143.0,650.0,True,True,False,False,False,False
8803,2025-02-08 15:57:00+05:30,NL-CHS1,NL,NL-CHS,False,15,8.7,8.03,,,True,True,2025-01-04 16:03:00+05:30,5.4,8.37,,,0.0,0.0,0.0,,3143.0,650.0,True,True,False,False,False,False
8901,2025-02-22 07:10:00+05:30,NL-CHS1,NL,NL-CHS,True,7,4.2,7.82,,0.18,True,True,2025-02-08 07:18:00+05:30,4.5,7.71,,0.24,0.0,0.0,0.0,40.0,2607.0,600.0,True,True,False,False,False,False
8902,2025-02-22 16:30:00+05:30,NL-CHS1,NL,NL-CHS,False,16,9.3,8.37,,,True,True,2025-02-08 15:57:00+05:30,8.7,8.03,,,0.0,0.0,0.0,,2607.0,600.0,True,True,False,False,False,False
9072,2025-03-08 06:45:00+05:30,NL-CHS1,NL,NL-CHS,True,6,3.7,8.06,,0.14,True,True,2025-02-22 07:10:00+05:30,4.2,7.82,,0.18,0.0,0.0,0.0,40.0,2607.0,600.0,True,True,False,False,False,False
9073,2025-03-08 16:38:00+05:30,NL-CHS1,NL,NL-CHS,False,16,9.0,8.24,,,True,True,2025-02-22 16:30:00+05:30,9.3,8.37,,,0.0,0.0,0.0,,2607.0,600.0,True,True,False,False,False,False
8514,2025-01-11 07:03:00+05:30,NL-CHV1,NL,NL-CHV,True,7,3.2,7.98,,0.12,True,,,,,,,,,,,,,,,,,,
8515,2025-01-11 15:38:00+05:30,NL-CHV1,NL,NL-CHV,False,15,8.4,8.29,,,True,,,,,,,,,,,,,,,,,,
9070,2025-03-08 06:58:00+05:30,NL-CHV1,NL,NL-CHV,True,6,4.2,7.73,,0.0,True,True,2025-01-11 07:03:00+05:30,3.2,7.98,,0.12,0.0,0.0,0.0,45.0,3714.0,750.0,True,True,False,False,False,False
9071,2025-03-08 16:12:00+05:30,NL-CHV1,NL,NL-CHV,False,16,10.6,8.06,,,True,True,2025-01-11 15:38:00+05:30,8.4,8.29,,,0.0,0.0,0.0,,3714.0,750.0,True,True,False,False,False,False
8668,2025-01-31 07:43:00+05:30,NL-DEV1,NL,NL-DEV,True,7,3.9,7.98,,0.13,True,,,,,,,,,,,,,,,,,,
8669,2025-01-31 16:14:00+05:30,NL-DEV1,NL,NL-DEV,False,16,9.5,8.31,,,True,,,,,,,,,,,,,,,,,,
8982,2025-02-26 07:24:00+05:30,NL-DEV1,NL,NL-DEV,True,7,4.0,8.06,,0.21,True,True,2025-01-31 07:43:00+05:30,3.9,7.98,,0.13,0.0,0.0,0.0,45.0,3521.0,450.0,True,True,False,False,False,False
8983,2025-02-26 16:47:00+05:30,NL-DEV1,NL,NL-DEV,False,16,9.8,8.41,,,True,True,2025-01-31 16:14:00+05:30,9.5,8.31,,,0.0,0.0,0.0,,3521.0,450.0,True,True,False,False,False,False
8670,2025-01-31 07:58:00+05:30,NL-DEV2,NL,NL-DEV,True,7,4.1,8.07,,0.19,True,,,,,,,,,,,,,,,,,,
8671,2025-01-31 16:26:00+05:30,NL-DEV2,NL,NL-DEV,False,16,10.4,8.36,,,True,,,,,,,,,,,,,,,,,,
8984,2025-02-26 07:39:00+05:30,NL-DEV2,NL,NL-DEV,True,7,3.5,8.06,,0.27,True,True,2025-01-31 07:58:00+05:30,4.1,8.07,,0.19,0.0,0.0,0.0,40.0,3017.0,450.0,True,True,False,False,False,False
8985,2025-02-26 17:03:00+05:30,NL-DEV2,NL,NL-DEV,False,17,8.9,8.43,,,True,True,2025-01-31 16:26:00+05:30,10.4,8.36,,,0.0,0.0,0.0,,3017.0,450.0,True,True,False,False,False,False
8573,2025-01-21 07:48:00+05:30,NL-DLP1,NL,NL-DLP,True,7,3.7,7.88,,0.14,True,,,,,,,,,,,,,,,,,,
8574,2025-01-21 16:18:00+05:30,NL-DLP1,NL,NL-DLP,False,16,9.1,8.27,,,True,,,,,,,,,,,,,,,,,,
8859,2025-02-17 07:26:00+05:30,NL-DLP1,NL,NL-DLP,True,7,3.7,7.83,,0.12,True,True,2025-01-21 07:48:00+05:30,3.7,7.88,,0.14,0.0,0.0,0.0,160.0,,,,,,,,
8860,2025-02-17 16:43:00+05:30,NL-DLP1,NL,NL-DLP,False,16,9.5,8.21,,,True,True,2025-01-21 16:18:00+05:30,9.1,8.27,,,0.0,0.0,0.0,,3044.0,550.0,True,True,False,False,False,False
8571,2025-01-21 07:20:00+05:30,NL-FAY1,NL,NL-FAY,True,7,3.5,7.82,,0.19,True,,,,,,,,,,,,,,,,,,
8572,2025-01-21 15:58:00+05:30,NL-FAY1,NL,NL-FAY,False,15,8.4,8.28,,,True,,,,,,,,,,,,,,,,,,
8516,2025-01-11 07:58:00+05:30,NL-GMS1,NL,NL-GMS,True,7,4.3,7.97,,0.19,True,,,,,,,,,,,,,,,,,,
8517,2025-01-11 16:28:00+05:30,NL-GMS1,NL,NL-GMS,False,16,8.7,8.3,,,True,,,,,,,,,,,,,,,,,,
8604,2025-01-25 07:58:00+05:30,NL-GMS1,NL,NL-GMS,True,7,3.8,7.93,,0.12,True,True,2025-01-11 07:58:00+05:30,4.3,7.97,,0.19,0.0,0.0,0.0,40.0,1714.0,450.0,False,True,False,False,False,False
8605,2025-01-25 16:10:00+05:30,NL-GMS1,NL,NL-GMS,False,16,9.8,8.26,,,True,True,2025-01-11 16:28:00+05:30,8.7,8.3,,,0.0,0.0,0.0,,1714.0,450.0,False,True,False,False,False,False
8804,2025-02-08 08:05:00+05:30,NL-GMS1,NL,NL-GMS,True,8,3.4,7.91,,0.26,True,True,2025-01-25 07:58:00+05:30,3.8,7.93,,0.12,0.0,0.0,0.0,50.0,1714.0,550.0,False,True,False,False,False,False
8805,2025-02-08 16:34:00+05:30,NL-GMS1,NL,NL-GMS,False,16,8.5,8.28,,,True,True,2025-01-25 16:10:00+05:30,9.8,8.26,,,0.0,0.0,0.0,,1714.0,550.0,False,True,False,False,False,False
8903,2025-02-22 08:04:00+05:30,NL-GMS1,NL,NL-GMS,True,8,3.5,8.03,,0.19,True,True,2025-02-08 08:05:00+05:30,3.4,7.91,,0.26,0.0,0.0,0.0,40.0,1714.0,550.0,False,True,False,False,False,False
8904,2025-02-22 17:05:00+05:30,NL-GMS1,NL,NL-GMS,False,17,8.6,8.39,,,True,True,2025-02-08 16:34:00+05:30,8.5,8.28,,,0.0,0.0,0.0,,1714.0,550.0,False,True,False,False,False,False
8652,2025-01-28 07:10:00+05:30,NL-GOS2,NL,NL-GOS,True,7,3.4,7.83,,0.14,True,,,,,,,,,,,,,,,,,,
8653,2025-01-28 15:38:00+05:30,NL-GOS2,NL,NL-GOS,False,15,8.6,8.29,,,True,,,,,,,,,,,,,,,,,,
8941,2025-02-24 07:03:00+05:30,NL-GOS2,NL,NL-GOS,True,7,3.7,8.03,,0.13,True,True,2025-01-28 07:10:00+05:30,3.4,7.83,,0.14,0.0,0.0,0.0,120.0,2817.0,850.0,False,False,False,False,False,False
8942,2025-02-24 16:05:00+05:30,NL-GOS2,NL,NL-GOS,False,16,9.0,8.39,,,True,True,2025-01-28 15:38:00+05:30,8.6,8.29,,,0.0,0.0,0.0,,2187.0,850.0,False,False,False,False,False,False
8656,2025-01-28 07:28:00+05:30,NL-GOV1,NL,NL-GOV,True,7,3.8,7.78,,0.07,True,,,,,,,,,,,,,,,,,,
8657,2025-01-28 16:08:00+05:30,NL-GOV1,NL,NL-GOV,False,16,9.4,8.21,,,True,,,,,,,,,,,,,,,,,,
8943,2025-02-24 07:11:00+05:30,NL-GOV1,NL,NL-GOV,True,7,4.0,8.09,,0.09,False,True,2025-01-28 07:28:00+05:30,3.8,7.78,,0.07,0.0,0.0,0.0,40.0,40984.0,10.0,False,True,False,False,False,False
8944,2025-02-24 16:18:00+05:30,NL-GOV1,NL,NL-GOV,False,16,9.3,8.36,,,True,True,2025-01-28 16:08:00+05:30,9.4,8.21,,,0.0,0.0,0.0,,40984.0,10.0,False,True,False,False,False,False
9112,2025-03-10 06:43:00+05:30,NL-GPL1,NL,NL-GPL,True,6,4.0,7.78,,0.01,True,,,,,,,,,,,,,,,,,,
9113,2025-03-10 15:58:00+05:30,NL-GPL1,NL,NL-GPL,False,15,9.5,8.03,,,True,,,,,,,,,,,,,,,,,,
8660,2025-01-29 07:46:00+05:30,NL-JUB1,NL,NL-JUB,True,7,3.9,7.93,,0.12,True,,,,,,,,,,,,,,,,,,
8661,2025-01-29 15:57:00+05:30,NL-JUB1,NL,NL-JUB,False,15,9.7,8.19,,,True,,,,,,,,,,,,,,,,,,
8974,2025-02-25 07:43:00+05:30,NL-JUB1,NL,NL-JUB,True,7,4.7,7.98,,0.16,True,True,2025-01-29 07:46:00+05:30,3.9,7.93,,0.12,0.0,0.0,0.0,45.0,2762.0,350.0,True,True,False,False,False,False
8975,2025-02-25 16:53:00+05:30,NL-JUB1,NL,NL-JUB,False,16,11.9,8.34,,,True,True,2025-01-29 15:57:00+05:30,9.7,8.19,,,0.0,0.0,0.0,,2762.0,350.0,True,True,False,False,False,False
8664,2025-01-31 07:12:00+05:30,NL-KIR1,NL,NL-KIR,True,7,3.5,7.84,,0.13,True,,,,,,,,,,,,,,,,,,
8665,2025-01-31 16:22:00+05:30,NL-KIR1,NL,NL-KIR,False,16,9.4,8.24,,,True,,,,,,,,,,,,,,,,,,
8978,2025-02-26 07:03:00+05:30,NL-KIR1,NL,NL-KIR,True,7,3.4,7.96,,0.17,True,True,2025-01-31 07:12:00+05:30,3.5,7.84,,0.13,0.0,0.0,0.0,30.0,3788.0,450.0,True,True,False,False,False,False
8979,2025-02-26 16:10:00+05:30,NL-KIR1,NL,NL-KIR,False,16,9.0,8.37,,,True,True,2025-01-31 16:22:00+05:30,9.4,8.24,,,0.0,0.0,0.0,,3788.0,450.0,True,True,False,False,False,False
9040,2025-03-06 07:38:00+05:30,NL-KIR1,NL,NL-KIR,True,7,0.6,7.59,,0.26,True,True,2025-02-26 07:03:00+05:30,3.4,7.96,,0.17,0.0,0.0,0.0,30.0,3788.0,550.0,True,True,False,False,False,False
9041,2025-03-06 16:26:00+05:30,NL-KIR1,NL,NL-KIR,False,16,6.6,7.48,,,True,True,2025-02-26 16:10:00+05:30,9.0,8.37,,,0.0,0.0,0.0,,3788.0,550.0,True,True,False,False,False,False
8666,2025-01-31 07:25:00+05:30,NL-KIR2,NL,NL-KIR,True,7,3.8,8.01,,0.26,True,,,,,,,,,,,,,,,,,,
8667,2025-01-31 15:58:00+05:30,NL-KIR2,NL,NL-KIR,False,15,9.1,8.38,,,True,,,,,,,,,,,,,,,,,,
8980,2025-02-26 07:13:00+05:30,NL-KIR2,NL,NL-KIR,True,7,3.9,7.99,,0.19,True,True,2025-01-31 07:25:00+05:30,3.8,8.01,,0.26,0.0,0.0,0.0,40.0,3356.0,450.0,True,True,False,False,False,False
8981,2025-02-26 16:30:00+05:30,NL-KIR2,NL,NL-KIR,False,16,9.3,8.38,,,True,True,2025-01-31 15:58:00+05:30,9.1,8.38,,,0.0,0.0,0.0,,3356.0,450.0,True,True,False,False,False,False
9042,2025-03-06 07:44:00+05:30,NL-KIR2,NL,NL-KIR,True,7,3.4,7.83,,0.03,True,True,2025-02-26 07:13:00+05:30,3.9,7.99,,0.19,0.0,0.0,0.0,45.0,3356.0,550.0,True,True,False,False,False,False
9043,2025-03-06 16:38:00+05:30,NL-KIR2,NL,NL-KIR,False,16,8.0,7.72,,,True,True,2025-02-26 16:30:00+05:30,9.3,8.38,,,0.0,0.0,0.0,,3356.0,550.0,True,True,False,False,False,False
8600,2025-01-23 07:15:00+05:30,NL-KSR1,NL,NL-KSR,True,7,3.4,7.93,,0.19,True,,,,,,,,,,,,,,,,,,
8601,2025-01-23 15:48:00+05:30,NL-KSR1,NL,NL-KSR,False,15,8.7,8.27,,,True,,,,,,,,,,,,,,,,,,
8897,2025-02-20 07:19:00+05:30,NL-KSR1,NL,NL-KSR,True,7,4.0,7.84,,0.1,True,True,2025-01-23 07:15:00+05:30,3.4,7.93,,0.19,0.0,0.0,0.0,1300.0,3000.0,320.0,True,True,False,False,False,False
8898,2025-02-20 16:14:00+05:30,NL-KSR1,NL,NL-KSR,False,16,9.2,8.29,,,True,True,2025-01-23 15:48:00+05:30,8.7,8.27,,,0.0,0.0,0.0,,3000.0,350.0,True,True,False,False,False,False
8408,2025-01-03 07:17:00+05:30,NL-MLI1,NL,NL-MLI,True,7,3.2,8.07,,0.29,True,,,,,,,,,,,,,,,,,,
8409,2025-01-03 16:15:00+05:30,NL-MLI1,NL,NL-MLI,False,16,9.0,8.36,,,True,,,,,,,,,,,,,,,,,,
8402,2025-01-02 06:40:00+05:30,NL-MVW1,NL,NL-MVW,True,6,3.7,7.94,,0.28,True,,,,,,,,,,,,,,,,,,
