sample_idx,sample_dt,pond_id,region,farm,morning,hour,do_mg_per_L,ph,turbidity_cm,ammonia_mg_per_L,do_winkler,prev_matches_time,prev_sample_dt,prev_do_mg_per_L,prev_ph,prev_turbidity_cm,prev_ammonia_mg_per_L,prev_individuals_air_gulping,prev_individuals_tail_splashing,prev_dead_fish,prev_feed_amount_kg,prev_stocking_density_per_acre,prev_weight,prev_species_catla,prev_species_rohu,prev_species_roopchand,prev_species_grass_carp,prev_species_pangasius,prev_species_whiteleg_shrimp
127,2021-08-26 07:45:00+05:30,NL-BAN1,NL,NL-BAN,True,7,3.2,8.33,32.0,0.0,False,,,,,,,,,,,,,,,,,,
134,2021-08-26 17:25:00+05:30,NL-BAN1,NL,NL-BAN,False,17,5.9,7.89,,,False,,,,,,,,,,,,,,,,,,
188,2021-09-13 06:45:00+05:30,NL-BAN1,NL,NL-BAN,True,6,1.2,8.23,20.0,,False,True,2021-08-26 07:45:00+05:30,3.2,8.33,32.0,0.0,,,,,,,,,,,,
191,2021-09-13 16:50:00+05:30,NL-BAN1,NL,NL-BAN,False,16,10.5,8.81,,,False,True,2021-08-26 17:25:00+05:30,5.9,7.89,,,,,,,,,,,,,,
248,2021-09-28 06:37:00+05:30,NL-BAN1,NL,NL-BAN,True,6,1.4,8.04,36.0,0.0,False,True,2021-09-13 06:45:00+05:30,1.2,8.23,20.0,,,,,,,,,,,,,
255,2021-09-28 17:49:00+05:30,NL-BAN1,NL,NL-BAN,False,17,12.4,8.51,0.0,0.0,False,True,2021-09-13 16:50:00+05:30,10.5,8.81,,,,,,,,,,,,,,
294,2021-10-11 07:08:00+05:30,NL-BAN1,NL,NL-BAN,True,7,1.8,7.8,35.0,,False,True,2021-09-28 06:37:00+05:30,1.4,8.04,36.0,0.0,,,,,,,,,,,,
297,2021-10-11 16:43:00+05:30,NL-BAN1,NL,NL-BAN,False,16,10.0,8.23,,,False,True,2021-09-28 17:49:00+05:30,12.4,8.51,0.0,0.0,,,,,,,,,,,,
347,2021-10-28 06:12:00+05:30,NL-BAN1,NL,NL-BAN,True,6,1.8,8.23,33.0,0.0,False,True,2021-10-11 07:08:00+05:30,1.8,7.8,35.0,,,,,,,,,,,,,
349,2021-10-28 16:27:00+05:30,NL-BAN1,NL,NL-BAN,False,16,2.5,8.39,,,False,True,2021-10-11 16:43:00+05:30,10.0,8.23,,,,,,,,,,,,,,
404,2021-11-14 07:19:00+05:30,NL-BAN1,NL,NL-BAN,True,7,1.8,8.27,22.0,,False,True,2021-10-28 06:12:00+05:30,1.8,8.23,33.0,0.0,,,,,,,,,,,,
406,2021-11-14 17:03:00+05:30,NL-BAN1,NL,NL-BAN,False,17,5.8,8.31,,,False,True,2021-10-28 16:27:00+05:30,2.5,8.39,,,,,,,,,,,,,,
499,2021-11-28 07:19:00+05:30,NL-BAN1,NL,NL-BAN,True,7,1.0,7.6,29.0,,False,True,2021-11-14 07:19:00+05:30,1.8,8.27,22.0,,,,,,,,,,,,,
507,2021-11-28 17:02:00+05:30,NL-BAN1,NL,NL-BAN,False,17,3.7,7.92,29.0,,False,True,2021-11-14 17:03:00+05:30,5.8,8.31,,,,,,,,,,,,,,
637,2021-12-24 08:00:00+05:30,NL-BAN1,NL,NL-BAN,True,8,3.2,7.94,39.0,0.0,False,True,2021-11-28 07:19:00+05:30,1.0,7.6,29.0,,,,,30.0,,,,,,,,
644,2021-12-24 17:07:00+05:30,NL-BAN1,NL,NL-BAN,False,17,12.5,8.17,,,False,True,2021-11-28 17:02:00+05:30,3.7,7.92,29.0,,,,,30.0,,,,,,,,
725,2022-01-07 06:45:00+05:30,NL-BAN1,NL,NL-BAN,True,6,4.3,7.28,28.0,,False,True,2021-12-24 08:00:00+05:30,3.2,7.94,39.0,0.0,,,,50.0,,,,,,,,
728,2022-01-07 17:01:00+05:30,NL-BAN1,NL,NL-BAN,False,17,8.3,7.94,28.0,,False,True,2021-12-24 17:07:00+05:30,12.5,8.17,,,,,,,,,,,,,,
836,2022-01-25 06:50:00+05:30,NL-BAN1,NL,NL-BAN,True,6,3.3,8.03,31.0,0.0,False,True,2022-01-07 06:45:00+05:30,4.3,7.28,28.0,,,,,10.0,,,,,,,,
848,2022-01-25 17:10:00+05:30,NL-BAN1,NL,NL-BAN,False,17,8.4,8.45,31.0,,False,True,2022-01-07 17:01:00+05:30,8.3,7.94,28.0,,,,,10.0,,,,,,,,
958,2022-02-10 06:50:00+05:30,NL-BAN1,NL,NL-BAN,True,6,3.4,7.3,31.0,0.0,False,True,2022-01-25 06:50:00+05:30,3.3,8.03,31.0,0.0,,,,10.0,,,,,,,,
962,2022-02-10 17:10:00+05:30,NL-BAN1,NL,NL-BAN,False,17,10.0,8.0,31.0,,False,True,2022-01-25 17:10:00+05:30,8.4,8.45,31.0,,,,,10.0,,,,,,,,
1026,2022-02-22 07:12:00+05:30,NL-BAN1,NL,NL-BAN,True,7,3.4,7.31,28.0,0.0,False,True,2022-02-10 06:50:00+05:30,3.4,7.3,31.0,0.0,,,,10.0,,,,,,,,
1029,2022-02-22 17:05:00+05:30,NL-BAN1,NL,NL-BAN,False,17,8.4,8.18,28.0,,False,True,2022-02-10 17:10:00+05:30,10.0,8.0,31.0,,,,,10.0,,,,,,,,
1144,2022-03-10 07:10:00+05:30,NL-BAN1,NL,NL-BAN,True,7,3.9,7.32,52.0,0.0,False,True,2022-02-22 07:12:00+05:30,3.4,7.31,28.0,0.0,,,,10.0,,,,,,,,
1151,2022-03-10 16:55:00+05:30,NL-BAN1,NL,NL-BAN,False,16,9.2,7.42,52.0,,False,True,2022-02-22 17:05:00+05:30,8.4,8.18,28.0,,,,,10.0,,,,,,,,
1283,2022-03-31 06:45:00+05:30,NL-BAN1,NL,NL-BAN,True,6,3.5,7.35,42.0,0.0,False,True,2022-03-10 07:10:00+05:30,3.9,7.32,52.0,0.0,,,,40.0,,,,,,,,
1287,2022-03-31 16:35:00+05:30,NL-BAN1,NL,NL-BAN,False,16,9.6,7.67,42.0,,False,True,2022-03-10 16:55:00+05:30,9.2,7.42,52.0,,,,,40.0,,,,,,,,
1395,2022-04-14 06:35:00+05:30,NL-BAN1,NL,NL-BAN,True,6,4.1,8.04,38.0,0.0,False,True,2022-03-31 06:45:00+05:30,3.5,7.35,42.0,0.0,,,,40.0,,,,,,,,
1399,2022-04-14 17:00:00+05:30,NL-BAN1,NL,NL-BAN,False,17,9.9,8.29,38.0,0.0,False,True,2022-03-31 16:35:00+05:30,9.6,7.67,42.0,,,,,40.0,,,,,,,,
1509,2022-04-30 06:30:00+05:30,NL-BAN1,NL,NL-BAN,True,6,4.0,7.92,34.0,,False,True,2022-04-14 06:35:00+05:30,4.1,8.04,38.0,0.0,,,,30.0,1800.0,,,,,,,
1513,2022-04-30 16:40:00+05:30,NL-BAN1,NL,NL-BAN,False,16,8.5,8.29,34.0,,False,True,2022-04-14 17:00:00+05:30,9.9,8.29,38.0,0.0,,,,30.0,1800.0,,,,,,,
1647,2022-05-20 06:05:00+05:30,NL-BAN1,NL,NL-BAN,True,6,3.7,7.83,28.0,0.0,False,True,2022-04-30 06:30:00+05:30,4.0,7.92,34.0,,,,,30.0,1800.0,,,,,,,
1651,2022-05-20 16:35:00+05:30,NL-BAN1,NL,NL-BAN,False,16,11.6,8.29,28.0,0.0,False,True,2022-04-30 16:40:00+05:30,8.5,8.29,34.0,,,,,30.0,1800.0,,,,,,,
1756,2022-06-03 07:01:00+05:30,NL-BAN1,NL,NL-BAN,True,7,3.4,7.98,30.0,0.0,False,True,2022-05-20 06:05:00+05:30,3.7,7.83,28.0,0.0,,,,30.0,1800.0,,,,,,,
1763,2022-06-03 17:10:00+05:30,NL-BAN1,NL,NL-BAN,False,17,10.3,8.36,30.0,0.0,False,True,2022-05-20 16:35:00+05:30,11.6,8.29,28.0,0.0,,,,30.0,1800.0,,,,,,,
1891,2022-06-20 06:30:00+05:30,NL-BAN1,NL,NL-BAN,True,6,3.9,8.03,33.0,0.0,False,True,2022-06-03 07:01:00+05:30,3.4,7.98,30.0,0.0,,,,30.0,1800.0,,,,,,,
1895,2022-06-20 16:30:00+05:30,NL-BAN1,NL,NL-BAN,False,16,10.7,8.32,33.0,0.0,False,True,2022-06-03 17:10:00+05:30,10.3,8.36,30.0,0.0,,,,30.0,1800.0,,,,,,,
1978,2022-07-06 06:35:00+05:30,NL-BAN1,NL,NL-BAN,True,6,2.0,7.8,31.0,0.0,False,True,2022-06-20 06:30:00+05:30,3.9,8.03,33.0,0.0,,,,20.0,900.0,,,,,,,
1982,2022-07-06 16:30:00+05:30,NL-BAN1,NL,NL-BAN,False,16,5.0,7.88,31.0,0.0,False,True,2022-06-20 16:30:00+05:30,10.7,8.32,33.0,0.0,,,,20.0,900.0,,,,,,,
2117,2022-07-30 06:27:00+05:30,NL-BAN1,NL,NL-BAN,True,6,3.7,7.98,32.0,0.0,False,True,2022-07-06 06:35:00+05:30,2.0,7.8,31.0,0.0,,,,30.0,900.0,,,,,,,
