var_type,y,y,y,y,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
var_name,do_mg_per_L,ph,ammonia_mg_per_L,turbidity_cm,morning,property_area_acres,pond_depth_meters,measurement_idx,downward_shortwave_radiation_flux_3,downward_shortwave_radiation_flux_9,downward_shortwave_radiation_flux_15,downward_shortwave_radiation_flux_21,downward_shortwave_radiation_flux_sample,precipitable_water_entire_atmosphere_3,precipitable_water_entire_atmosphere_9,precipitable_water_entire_atmosphere_15,precipitable_water_entire_atmosphere_21,precipitable_water_entire_atmosphere_sample,relative_humidity_2m_above_ground_3,relative_humidity_2m_above_ground_9,relative_humidity_2m_above_ground_15,relative_humidity_2m_above_ground_21,relative_humidity_2m_above_ground_sample,specific_humidity_2m_above_ground_3,specific_humidity_2m_above_ground_9,specific_humidity_2m_above_ground_15,specific_humidity_2m_above_ground_21,specific_humidity_2m_above_ground_sample,temperature_2m_above_ground_3,temperature_2m_above_ground_9,temperature_2m_above_ground_15,temperature_2m_above_ground_21,temperature_2m_above_ground_sample,total_cloud_cover_entire_atmosphere_3,total_cloud_cover_entire_atmosphere_9,total_cloud_cover_entire_atmosphere_15,total_cloud_cover_entire_atmosphere_21,total_cloud_cover_entire_atmosphere_sample,total_precipitation_surface_3,total_precipitation_surface_9,total_precipitation_surface_15,total_precipitation_surface_21,total_precipitation_surface_sample,u_component_of_wind_10m_above_ground_3,u_component_of_wind_10m_above_ground_9,u_component_of_wind_10m_above_ground_15,u_component_of_wind_10m_above_ground_21,u_component_of_wind_10m_above_ground_sample,v_component_of_wind_10m_above_ground_3,v_component_of_wind_10m_above_ground_9,v_component_of_wind_10m_above_ground_15,v_component_of_wind_10m_above_ground_21,v_component_of_wind_10m_above_ground_sample
measurement_idx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3.6,8.13,0.09,30.0,True,2.5,2.0,0.0,202.0599975585937,861.3200073242188,1.71999990940094,0.0,10.380000114440918,54.4031982421875,53.5341911315918,53.95277404785156,52.92300415039063,51.12506866455078,80.9000015258789,77.0999984741211,80.5,79.4000015258789,80.0,0.0193946193903684,0.0193857122212648,0.0197415892034769,0.0193844605237245,0.0192343816161155,28.368981933593773,29.0927673339844,28.714624023437523,28.598443603515648,28.347009277343773,5.0,54.0,10.0,5.099999904632568,97.70000457763672,1.3125,0.1875,0.3125,0.75,0.125,-0.1146948188543319,-3.5891504287719727,-2.641162157058716,-1.264875411987305,0.3924902379512787,5.556132793426514,3.784169912338257,4.547529220581055,4.514411449432373,4.215099811553955
1,9.8,8.32,,,False,2.5,2.0,1.0,202.0599975585937,864.199951171875,1.899999976158142,0.0,629.97998046875,54.4031982421875,51.52753448486328,53.12336730957031,52.92300415039063,46.89977645874024,80.9000015258789,78.70000457763672,81.0999984741211,79.4000015258789,73.70000457763672,0.0193946193903684,0.0197023451328277,0.0200356841087341,0.0193844605237245,0.018722353503108,28.368981933593773,29.017694091796898,28.832696533203148,28.598443603515648,29.249841308593773,5.0,52.10000228881836,9.800000190734863,5.099999904632568,70.70000457763672,1.3125,0.125,0.375,0.75,0.0,-0.1146948188543319,-4.539804458618164,-2.170383214950561,-1.264875411987305,-4.714699745178223,5.556132793426514,3.320060968399048,4.225351333618164,4.514411449432373,0.5261938571929932
2,3.6,8.04,0.07,29.0,True,2.5,2.0,2.0,32.70000076293945,320.2799987792969,0.0199999995529651,0.0,55.41999816894531,54.444522857666016,57.778717041015625,57.159706115722656,50.01930618286133,57.93672943115234,72.9000015258789,73.0,73.20000457763672,69.5999984741211,79.20000457763672,0.017142005264759,0.0167003758251667,0.0166426170617342,0.0163287967443466,0.0169376395642757,28.021875000000023,27.517175292968773,27.456872558593773,27.968560791015648,26.437371826171898,100.0,100.0,98.5,100.0,14.300000190734863,0.0,0.125,0.0,0.0,1.125,-5.0855393409729,-2.733330011367798,-3.6999218463897705,-5.662919998168945,0.2503295838832855,-6.743400573730469,-7.332104206085205,-4.543576717376709,-5.204535961151123,-5.438893795013428
3,10.8,8.32,,,False,2.5,2.0,3.0,32.70000076293945,216.72000122070312,0.0199999995529651,0.0,637.4199829101562,54.444522857666016,58.621917724609375,56.119606018066406,50.01930618286133,41.54414367675781,72.9000015258789,73.5,71.4000015258789,69.5999984741211,64.5999984741211,0.017142005264759,0.0168737191706895,0.016301080584526,0.0163287967443466,0.0150314569473266,28.021875000000023,27.576806640625023,27.516137695312523,27.968560791015648,27.813745117187523,100.0,97.4000015258789,100.0,100.0,13.100000381469728,0.0,0.1875,0.0,0.0,0.0,-5.0855393409729,-2.527963876724243,-3.5521240234375,-5.662919998168945,-3.945703029632568,-6.743400573730469,-7.592961311340332,-4.011684417724609,-5.204535961151123,-1.8202978372573853
4,3.4,8.0,0.1,30.0,True,2.5,2.0,4.0,39.91999816894531,182.8000030517578,0.0399999991059303,0.0,10.960000038146973,44.42319107055664,48.514347076416016,50.18093490600586,40.02174758911133,44.66724395751953,78.5,79.0999984741211,79.20000457763672,74.4000015258789,78.30000305175781,0.016141440719366,0.0162662398070096,0.0164012797176837,0.0150163201615214,0.0162332002073526,25.828515625000023,25.782067871093773,25.91793212890628,25.4763122558594,25.923394775390648,100.0,100.0,96.3000030517578,92.0999984741211,100.0,0.0625,0.25,0.125,0.0625,0.125,-4.918529987335205,-5.210141658782959,-6.748593807220459,-4.987690448760986,-5.531784534454346,-5.58574104309082,-5.849936485290527,-5.127411842346191,-3.9726366996765137,-3.910756826400757
5,9.1,8.25,0.1,30.0,False,2.5,2.0,5.0,39.91999816894531,118.2199935913086,0.0399999991059303,0.0,286.5599975585937,44.42319107055664,54.211822509765625,54.60470581054688,40.02174758911133,41.35700988769531,78.5,80.70000457763672,78.9000015258789,74.4000015258789,78.70000457763672,0.016141440719366,0.0164838396012783,0.016568960621953,0.0150163201615214,0.0162249449640512,25.828515625000023,25.644403076171898,26.143365478515648,25.4763122558594,25.80562744140628,100.0,100.0,78.30000305175781,92.0999984741211,100.0,0.0625,0.375,0.375,0.0625,0.125,-4.918529987335205,-5.974953651428223,-7.563583850860596,-4.987690448760986,-6.571450233459473,-5.58574104309082,-5.754982948303223,-5.022167682647705,-3.9726366996765137,-3.862836837768554
6,3.3,8.11,0.16,28.0,True,2.5,2.0,6.0,100.54000091552734,771.739990234375,1.6200000047683716,0.0,10.119999885559082,44.038719177246094,42.8083381652832,41.17743682861328,42.92008590698242,40.73381805419922,71.80000305175781,65.9000015258789,68.5999984741211,71.70000457763672,67.4000015258789,0.0150978360325098,0.0137900309637188,0.0141570046544075,0.0146414814516901,0.0135823907330632,26.188592529296898,26.038110351562523,25.85518798828128,25.648980712890648,25.447167968750023,74.5999984741211,59.5,37.5,98.20000457763672,95.3000030517578,0.0625,0.0,0.0,0.25,0.0,-6.4129638671875,-5.925365924835205,-6.017631530761719,-6.14532470703125,-5.400199890136719,-0.9234740734100342,-2.7129783630371094,-0.9104663133621216,-1.6450707912445068,-1.1072949171066284
7,9.2,8.32,0.16,28.0,False,2.5,2.0,7.0,100.54000091552734,756.1399536132812,1.6200000047683716,0.0,597.47998046875,44.038719177246094,42.47901916503906,39.79191207885742,42.92008590698242,39.21299362182617,71.80000305175781,67.5,68.20000457763672,71.70000457763672,67.30000305175781,0.0150978360325098,0.0140489628538489,0.013950178399682,0.0146414814516901,0.0138808339834213,26.188592529296898,25.954675292968773,25.690942382812523,25.648980712890648,25.7922302246094,74.5999984741211,35.10000228881836,87.5999984741211,98.20000457763672,90.5,0.0625,0.0,0.0,0.25,0.0,-6.4129638671875,-6.076699256896973,-6.485353946685791,-6.14532470703125,-5.992259502410889,-0.9234740734100342,-3.071049690246582,-0.3496215641498565,-1.6450707912445068,-1.0373486280441284
