system:index,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,MSK_CLDPRB,SCL,WVP,hours_from_measurement,ndvi,ndwi,sample_idx,.geo
0,0.324,1.528,0.655,0.5697,1.1512,1.0499,1.0103,1.1048,1.0341,1.0015,0.8974000000000001,0.9676,1.6888,1.0,9,2.565,213.07031555555557,-0.05918121297897986,0.07831356236840752,8518,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0.324,1.528,0.655,0.5697,1.1512,1.0499,1.0103,1.1048,1.0341,1.0015,0.8974000000000001,0.9676,1.6888,1.0,9,2.565,220.90364888888888,-0.05918121297897986,0.07831356236840752,8519,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0.582,0.044700000000000004,0.0302,0.0143,0.0499,0.0689,0.0431,0.0746,0.0805,0.09280000000000001,0.0855,0.0743,0.1497,0.0,7,2.46,44.42966222222222,0.32970451010886476,-0.10751295336787567,8806,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0.582,0.044700000000000004,0.0302,0.0143,0.0499,0.0689,0.0431,0.0746,0.0805,0.09280000000000001,0.0855,0.0743,0.1497,0.0,7,2.46,53.21299555555556,0.32970451010886476,-0.10751295336787567,8807,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0.402,0.0131,0.018500000000000003,0.0108,0.0216,0.051800000000000006,0.024200000000000003,0.0579,0.0229,0.020800000000000003,0.016800000000000002,0.0041,0.1398,0.0,7,2.555,44.73050777777778,-0.18048780487804875,0.5102040816326531,9122,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.402,0.0131,0.018500000000000003,0.0108,0.0216,0.051800000000000006,0.024200000000000003,0.0579,0.0229,0.020800000000000003,0.016800000000000002,0.0041,0.1398,0.0,7,2.555,54.44717444444444,-0.18048780487804875,0.5102040816326531,9123,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0.372,0.0045000000000000005,0.0604,0.029900000000000003,0.015300000000000001,0.0364,0.0187,0.059800000000000006,0.092,0.1439,0.1257,0.14980000000000002,0.1447,0.0,4,3.251,116.38679388888889,0.7409972299168975,-0.5508945095619987,8432,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0.324,0.2884,0.10500000000000001,0.058800000000000005,0.26280000000000003,0.2436,0.198,0.2233,0.2396,0.24860000000000002,0.2313,0.2306,0.2685,0.38,8,2.565,5.303648888888889,0.07756813417190775,0.02590018951358182,8433,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.138,0.0315,0.0829,0.043500000000000004,0.0375,0.0584,0.036000000000000004,0.07540000000000001,0.1419,0.18050000000000002,0.1564,0.1709,0.1562,0.0,4,2.067,116.55307083333334,0.6257796257796258,-0.4562383612662942,8802,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.582,0.053200000000000004,0.0932,0.0489,0.047,0.0746,0.0509,0.10590000000000001,0.15660000000000002,0.1625,0.1623,0.1743,0.17470000000000002,0.0,5,2.951,5.196328888888889,0.5225140712945591,-0.37019839594765724,8803,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0.516,0.013900000000000001,0.0799,0.0385,0.0223,0.053200000000000004,0.0367,0.083,0.1165,0.1206,0.1288,0.14880000000000002,0.1295,0.0,5,3.037,92.41416805555555,0.5564954682779455,-0.4153846153846154,8901,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0.516,0.013900000000000001,0.0799,0.0385,0.0223,0.053200000000000004,0.0367,0.083,0.1165,0.1206,0.1288,0.14880000000000002,0.1295,0.0,5,3.037,101.74750138888889,0.5564954682779455,-0.4153846153846154,8902,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0.54,0.0412,0.09140000000000001,0.056900000000000006,0.0504,0.0763,0.0482,0.0976,0.1262,0.14830000000000002,0.1497,0.16060000000000002,0.24350000000000002,0.01,10,2.539,68.00282194444445,0.5128852956038403,-0.32477876106194686,9072,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0.54,0.0412,0.09140000000000001,0.056900000000000006,0.0504,0.0763,0.0482,0.0976,0.1262,0.14830000000000002,0.1497,0.16060000000000002,0.24350000000000002,0.01,10,2.539,77.88615527777777,0.5128852956038403,-0.32477876106194686,9073,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0.324,0.2879,0.0981,0.0533,0.2621,0.23950000000000002,0.19540000000000002,0.2189,0.229,0.2451,0.2258,0.2215,0.2757,0.37,8,2.565,164.3036488888889,0.07217473884140546,0.02944336986890182,8514,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0.324,0.2879,0.0981,0.0533,0.2621,0.23950000000000002,0.19540000000000002,0.2189,0.229,0.2451,0.2258,0.2215,0.2757,0.37,8,2.565,172.88698222222223,0.07217473884140546,0.02944336986890182,8515,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0.54,0.0434,0.0726,0.0531,0.055400000000000005,0.0804,0.0553,0.07970000000000001,0.09040000000000001,0.1273,0.1129,0.13,0.27190000000000003,0.03,10,2.539,68.21948861111112,0.342449464922711,-0.16813243662700467,9070,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0.54,0.0434,0.0726,0.0531,0.055400000000000005,0.0804,0.0553,0.07970000000000001,0.09040000000000001,0.1273,0.1129,0.13,0.27190000000000003,0.03,10,2.539,77.45282194444444,0.342449464922711,-0.16813243662700467,9071,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0.324,0.024,0.084,0.0367,0.027200000000000002,0.0455,0.0296,0.0698,0.1542,0.1907,0.1938,0.193,0.1859,0.0,4,2.291,44.96272805555556,0.7350044762757387,-0.6197241955704136,8668,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0.324,0.024,0.084,0.0367,0.027200000000000002,0.0455,0.0296,0.0698,0.1542,0.1907,0.1938,0.193,0.1859,0.0,4,2.291,53.479394722222224,0.7350044762757387,-0.6197241955704136,8669,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,0.40800000000000003,0.0117,0.0868,0.0482,0.0239,0.0364,0.0234,0.0482,0.0859,0.10890000000000001,0.113,0.1109,0.1019,0.0,5,3.0460000000000003,68.65250305555556,0.656891495601173,-0.5127175368139224,8982,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0.40800000000000003,0.0117,0.0868,0.0482,0.0239,0.0364,0.0234,0.0482,0.0859,0.10890000000000001,0.113,0.1109,0.1019,0.0,5,3.0460000000000003,78.0358363888889,0.656891495601173,-0.5127175368139224,8983,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0.324,0.021400000000000002,0.025400000000000002,0.0111,0.023100000000000002,0.0412,0.025400000000000002,0.0448,0.0437,0.048100000000000004,0.041800000000000004,0.043000000000000003,0.1203,0.0,2,1.879,45.21272805555556,0.24404761904761904,-0.007228915662650642,8670,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,0.324,0.021400000000000002,0.025400000000000002,0.0111,0.023100000000000002,0.0412,0.025400000000000002,0.0448,0.0437,0.048100000000000004,0.041800000000000004,0.043000000000000003,0.1203,0.0,2,1.879,53.67939472222222,0.24404761904761904,-0.007228915662650642,8671,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,0.40800000000000003,0.010700000000000001,0.0246,0.0165,0.021,0.0335,0.018000000000000002,0.0402,0.0193,0.018000000000000002,0.0159,0.0166,0.061700000000000005,0.0,2,2.621,68.90250305555556,-0.06194690265486729,0.35627530364372473,8984,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,0.40800000000000003,0.010700000000000001,0.0246,0.0165,0.021,0.0335,0.018000000000000002,0.0402,0.0193,0.018000000000000002,0.0159,0.0166,0.061700000000000005,0.0,2,2.621,78.30250305555556,-0.06194690265486729,0.35627530364372473,8985,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,0.6,0.8220000000000001,0.41600000000000004,0.3466,0.6283000000000001,0.5615,0.512,0.5777,0.5853,0.5883,0.5345,0.5705,0.9331,1.0,9,3.4330000000000003,45.05403555555556,0.021500238891543205,0.024635036496350383,8573,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,0.6,0.8220000000000001,0.41600000000000004,0.3466,0.6283000000000001,0.5615,0.512,0.5777,0.5853,0.5883,0.5345,0.5705,0.9331,1.0,9,3.4330000000000003,53.55403555555556,0.021500238891543205,0.024635036496350383,8574,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,0.34800000000000003,0.0235,0.022600000000000002,0.0184,0.028200000000000003,0.037700000000000004,0.0222,0.04,0.0267,0.0328,0.023700000000000002,0.0239,0.0251,0.0,7,1.853,92.68592972222223,0.03267973856209153,0.2280130293159609,8859,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,0.34800000000000003,0.0235,0.022600000000000002,0.0184,0.028200000000000003,0.037700000000000004,0.0222,0.04,0.0267,0.0328,0.023700000000000002,0.0239,0.0251,0.0,7,1.853,101.96926305555556,0.03267973856209153,0.2280130293159609,8860,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,0.6,0.8818,0.44730000000000003,0.3941,0.6258,0.5807,0.5365,0.6142000000000001,0.6223000000000001,0.6295000000000001,0.5418000000000001,0.6157,1.0294,1.0,9,3.4330000000000003,44.58736888888889,0.004915144208476382,0.03465478841870818,8571,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,0.6,0.8818,0.44730000000000003,0.3941,0.6258,0.5807,0.5365,0.6142000000000001,0.6223000000000001,0.6295000000000001,0.5418000000000001,0.6157,1.0294,1.0,9,3.4330000000000003,53.22070222222222,0.004915144208476382,0.03465478841870818,8572,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,0.456,0.8048000000000001,0.37460000000000004,0.2913,0.7774000000000001,0.6662,0.5730000000000001,0.5917,0.5449,0.5252,0.5640000000000001,0.48410000000000003,0.9058,1.0,9,2.5,165.21621027777778,-0.007915567282321907,0.08307592261420904,8516,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,0.456,0.8048000000000001,0.37460000000000004,0.2913,0.7774000000000001,0.6662,0.5730000000000001,0.5917,0.5449,0.5252,0.5640000000000001,0.48410000000000003,0.9058,1.0,9,2.5,173.71621027777778,-0.007915567282321907,0.08307592261420904,8517,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,0.264,0.025500000000000002,0.0342,0.0223,0.0367,0.0548,0.0349,0.0654,0.0591,0.0666,0.06330000000000001,0.058,0.1395,0.0,7,2.004,21.21574138888889,0.2892057026476579,-0.07197290431837432,8604,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,0.264,0.025500000000000002,0.0342,0.0223,0.0367,0.0548,0.0349,0.0654,0.0591,0.0666,0.06330000000000001,0.058,0.1395,0.0,7,2.004,29.41574138888889,0.2892057026476579,-0.07197290431837432,8605,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,0.09,0.0298,0.0162,0.008400000000000001,0.033,0.049300000000000004,0.0284,0.0546,0.038700000000000005,0.046700000000000005,0.043500000000000004,0.0403,0.1027,0.0,7,1.556,117.33229888888889,0.21001390820584145,0.06249999999999999,8804,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,0.426,0.0896,0.0427,0.019700000000000002,0.0853,0.0942,0.0645,0.093,0.11710000000000001,0.136,0.12000000000000001,0.1174,0.1391,0.0,3,2.3040000000000003,5.808885555555555,0.3008130081300813,-0.1204481792717087,8805,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,0.322,0.035,0.031400000000000004,0.0189,0.037700000000000004,0.0584,0.039400000000000004,0.0685,0.06380000000000001,0.0736,0.061900000000000004,0.0623,0.1057,0.0,7,2.436,93.31006694444444,0.22211253701875616,-0.029093931837074007,8903,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,0.322,0.035,0.031400000000000004,0.0189,0.037700000000000004,0.0584,0.039400000000000004,0.0685,0.06380000000000001,0.0736,0.061900000000000004,0.0623,0.1057,0.0,7,2.436,102.32673361111111,0.22211253701875616,-0.029093931837074007,8904,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,0.265,0.033600000000000005,0.0587,0.0373,0.039,0.0589,0.038200000000000005,0.06770000000000001,0.0949,0.10940000000000001,0.1179,0.10550000000000001,0.1632,0.0,7,2.004,92.41574138888889,0.5105701473414477,-0.333710407239819,8652,"{""type"":""MultiPoint"",""coordinates"":[]}"
