system:index,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,MSK_CLDPRB,SCL,WVP,hours_from_measurement,ndvi,ndwi,sample_idx,.geo
0,0.546,0.0032,0.015600000000000001,0.0108,0.013800000000000002,0.028200000000000003,0.0142,0.0489,0.0341,0.038,0.0251,0.016800000000000002,0.0522,0.0,7,3.615,116.269965,0.27735368956743,0.05816135084427771,5296,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0.6,0.044700000000000004,0.029300000000000003,0.0164,0.0398,0.0579,0.043500000000000004,0.0729,0.0678,0.06760000000000001,0.0565,0.056,0.0448,0.0,7,3.844,5.437474444444445,0.12999999999999998,0.012237762237762224,5301,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0.432,0.0466,0.0086,0.0068000000000000005,0.0475,0.0539,0.0279,0.051000000000000004,0.0285,0.033,0.020900000000000002,0.0175,0.005200000000000001,0.0,6,3.1750000000000003,116.60458111111112,-0.14344262295081964,0.4411764705882353,5638,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0.606,1.3534000000000002,0.5534,0.3678,0.897,0.8733000000000001,0.8681000000000001,1.0050000000000001,1.0266,1.0651000000000002,0.8398,1.0563,0.24860000000000002,1.0,9,,5.871474444444445,-0.016570056794894376,0.019555192341369498,5639,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0.33,0.9517,0.6039,0.524,0.8834000000000001,0.8064,0.7397,0.7964,0.7642,0.7358,0.7781,0.7035,1.6285,1.0,9,2.517,116.88579138888889,0.025299775991566735,0.017860523824550327,5772,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.324,0.014400000000000001,0.0181,0.0128,0.0109,0.0354,0.0184,0.052700000000000004,0.0308,0.0332,0.028300000000000002,0.0228,0.0738,0.0,7,3.152,5.854691388888889,0.2119914346895075,0.11145996860282571,5773,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0.36,0.025500000000000002,0.0198,0.012,0.023100000000000002,0.0442,0.025500000000000002,0.0694,0.0613,0.06860000000000001,0.054900000000000004,0.0419,0.1729,0.0,3,2.928,44.50483694444444,0.36567164179104483,-0.10797174571140263,5957,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0.36,0.025500000000000002,0.0198,0.012,0.023100000000000002,0.0442,0.025500000000000002,0.0694,0.0613,0.06860000000000001,0.054900000000000004,0.0419,0.1729,0.0,3,2.928,53.304836944444446,0.36567164179104483,-0.10797174571140263,5958,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.39,0.020200000000000003,0.0224,0.0178,0.0302,0.0528,0.025500000000000002,0.0734,0.0555,0.0645,0.056600000000000004,0.0478,0.1552,0.0,7,2.392,116.57087944444444,0.37880633373934225,-0.03473491773308962,6162,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.438,0.45580000000000004,0.37670000000000003,0.29100000000000004,0.36360000000000003,0.3481,0.32130000000000003,0.3652,0.3997,0.4138,0.43170000000000003,0.4148,0.7154,0.91,9,2.5540000000000003,6.136881666666667,0.14661354581673305,-0.10720697614773018,6163,"{""type"":""MultiPoint"",""coordinates"":[]}"
