system:index,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,MSK_CLDPRB,SCL,hours_from_measurement,ndvi,ndwi,sample_idx,.geo
0,0.54,0.0644,0.062,0.0409,0.053000000000000005,0.0713,0.057300000000000004,0.08360000000000001,0.0724,0.0738,0.0634,0.0639,0.11420000000000001,0.0,7,67.82022166666667,0.050538525,0.05864885,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0.54,0.0644,0.062,0.0409,0.053000000000000005,0.0713,0.057300000000000004,0.08360000000000001,0.0724,0.0738,0.0634,0.0639,0.11420000000000001,0.0,7,77.92022166666666,0.050538525,0.05864885,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0.546,0.0032,0.015600000000000001,0.0108,0.013800000000000002,0.028200000000000003,0.0142,0.0489,0.0341,0.038,0.0251,0.016800000000000002,0.0522,0.0,7,116.269965,0.2773537,0.05816135,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0.6,0.044700000000000004,0.029300000000000003,0.0164,0.0398,0.0579,0.043500000000000004,0.0729,0.0678,0.06760000000000001,0.0565,0.056,0.0448,0.0,7,5.437474444444445,0.13,0.012237762,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0.432,0.0466,0.0086,0.0068000000000000005,0.0475,0.0539,0.0279,0.051000000000000004,0.0285,0.033,0.020900000000000002,0.0175,0.005200000000000001,0.0,6,116.60458111111112,-0.14344262,0.44117647,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.606,1.3534000000000002,0.5534,0.3678,0.897,0.8733000000000001,0.8681000000000001,1.0050000000000001,1.0266,1.0651000000000002,0.8398,1.0563,0.24860000000000002,1.0,9,5.871474444444445,-0.016570058,0.019555192,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0.33,0.9517,0.6039,0.524,0.8834000000000001,0.8064,0.7397,0.7964,0.7642,0.7358,0.7781,0.7035,1.6285,1.0,9,116.88579138888889,0.025299776,0.017860524,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0.324,0.014400000000000001,0.0181,0.0128,0.0109,0.0354,0.0184,0.052700000000000004,0.0308,0.0332,0.028300000000000002,0.0228,0.0738,0.0,7,5.854691388888889,0.21199143,0.11145997,7,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.36,0.025500000000000002,0.0198,0.012,0.023100000000000002,0.0442,0.025500000000000002,0.0694,0.0613,0.06860000000000001,0.054900000000000004,0.0419,0.1729,0.0,3,44.50483694444444,0.36567163,-0.10797174,8,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.36,0.025500000000000002,0.0198,0.012,0.023100000000000002,0.0442,0.025500000000000002,0.0694,0.0613,0.06860000000000001,0.054900000000000004,0.0419,0.1729,0.0,3,53.304836944444446,0.36567163,-0.10797174,9,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0.39,0.020200000000000003,0.0224,0.0178,0.0302,0.0528,0.025500000000000002,0.0734,0.0555,0.0645,0.056600000000000004,0.0478,0.1552,0.0,7,116.57087944444444,0.37880632,-0.034734916,10,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0.438,0.45580000000000004,0.37670000000000003,0.29100000000000004,0.36360000000000003,0.3481,0.32130000000000003,0.3652,0.3997,0.4138,0.43170000000000003,0.4148,0.7154,0.91,9,6.136881666666667,0.14661355,-0.10720698,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0.228,0.0436,0.042300000000000004,0.0309,0.0368,0.058600000000000006,0.041800000000000004,0.06960000000000001,0.048600000000000004,0.050100000000000006,0.048100000000000004,0.0369,0.1529,0.0,7,20.1211325,0.07007787,0.09840675,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0.228,0.0436,0.042300000000000004,0.0309,0.0368,0.058600000000000006,0.041800000000000004,0.06960000000000001,0.048600000000000004,0.050100000000000006,0.048100000000000004,0.0369,0.1529,0.0,7,30.2211325,0.07007787,0.09840675,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0.499,0.041,0.0323,0.0206,0.0341,0.0603,0.0391,0.076,0.0545,0.0608,0.045000000000000005,0.0376,0.1647,0.0,3,115.88644444444445,0.07015458,0.14529915,14,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0.5700000000000001,0.096,0.0844,0.0771,0.09860000000000001,0.10990000000000001,0.0777,0.11660000000000001,0.0896,0.09670000000000001,0.0863,0.08650000000000001,0.4046,0.11,10,6.2200991666666665,0.052439023,0.12028542,15,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0.366,0.022000000000000002,0.0263,0.0219,0.027700000000000002,0.0591,0.024200000000000003,0.07100000000000001,0.0316,0.0323,0.024,0.0094,0.10300000000000001,0.0,7,92.10381861111111,-0.004149378,0.42238268,16,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0.366,0.022000000000000002,0.0263,0.0219,0.027700000000000002,0.0591,0.024200000000000003,0.07100000000000001,0.0316,0.0323,0.024,0.0094,0.10300000000000001,0.0,7,102.55381861111111,-0.004149378,0.42238268,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0.498,0.0082,0.031,0.022600000000000002,0.010700000000000001,0.0424,0.0175,0.0631,0.0217,0.022600000000000002,0.0188,0.0,0.0888,0.0,7,68.50286055555556,0.035812672,0.38562092,18,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0.498,0.0082,0.031,0.022600000000000002,0.010700000000000001,0.0424,0.0175,0.0631,0.0217,0.022600000000000002,0.0188,0.0,0.0888,0.0,7,78.56952722222222,0.035812672,0.38562092,19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,0.45,0.0366,0.0442,0.027,0.0422,0.07590000000000001,0.057,0.1,0.0867,0.09670000000000001,0.08610000000000001,0.07640000000000001,0.1312,0.0,7,68.58707694444445,0.2033543,-0.062962964,20,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0.45,0.0366,0.0442,0.027,0.0422,0.07590000000000001,0.057,0.1,0.0867,0.09670000000000001,0.08610000000000001,0.07640000000000001,0.1312,0.0,7,78.7537436111111,0.2033543,-0.062962964,21,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0.34800000000000003,1.1707,0.656,0.5091,1.1143,1.0189000000000001,0.9556,1.0014,0.9418000000000001,0.921,0.9241,0.8789,1.6774,1.0,9,44.72203638888889,-0.016757993,0.04879053,22,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,0.34800000000000003,1.1707,0.656,0.5091,1.1143,1.0189000000000001,0.9556,1.0014,0.9418000000000001,0.921,0.9241,0.8789,1.6774,1.0,9,54.92203638888889,-0.016757993,0.04879053,23,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,0.396,0.1589,0.13,0.10830000000000001,0.1105,0.13870000000000002,0.1351,0.1792,0.1832,0.1945,0.1517,0.1844,0.5153,0.16,10,68.66927722222222,0.057880055,-0.04476584,24,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,0.396,0.1589,0.13,0.10830000000000001,0.1105,0.13870000000000002,0.1351,0.1792,0.1832,0.1945,0.1517,0.1844,0.5153,0.16,10,78.71927722222222,0.057880055,-0.04476584,25,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,0.336,0.0926,0.09090000000000001,0.0687,0.09770000000000001,0.1153,0.0949,0.1348,0.1342,0.1486,0.1297,0.1277,0.1459,0.0,5,44.75427833333333,0.15494213,-0.05877551,26,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,0.336,0.0926,0.09090000000000001,0.0687,0.09770000000000001,0.1153,0.0949,0.1348,0.1342,0.1486,0.1297,0.1277,0.1459,0.0,5,54.08761166666667,0.15494213,-0.05877551,27,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,0.66,0.0114,0.047900000000000005,0.039,0.0274,0.0789,0.0519,0.115,0.08900000000000001,0.10300000000000001,0.0893,0.0809,0.09430000000000001,0.0,5,68.75333416666666,0.26487252,-0.061831154,28,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,0.66,0.0114,0.047900000000000005,0.039,0.0274,0.0789,0.0519,0.115,0.08900000000000001,0.10300000000000001,0.0893,0.0809,0.09430000000000001,0.0,5,78.67000083333333,0.26487252,-0.061831154,29,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,0.594,0.0206,0.0483,0.0361,0.0383,0.0777,0.0446,0.1082,0.0985,0.11030000000000001,0.1043,0.0844,0.11030000000000001,0.0,5,116.70500388888888,0.40094024,-0.14615385,30,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,0.494,0.010400000000000001,0.0446,0.0335,0.017400000000000002,0.0631,0.031100000000000003,0.0959,0.0922,0.10840000000000001,0.0911,0.0849,0.0792,0.0,7,7.3356275,0.49099836,-0.18158236,31,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,0.798,0.0151,0.0555,0.0391,0.020800000000000003,0.0689,0.038,0.09970000000000001,0.0952,0.1032,0.09430000000000001,0.07440000000000001,0.09910000000000001,0.0,5,116.75237944444444,0.425548,-0.15563725,32,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,0.846,0.8793000000000001,0.2107,0.21430000000000002,0.8488,0.8531000000000001,0.8635,0.9139,0.9192,0.9378000000000001,0.9146000000000001,0.9188000000000001,0.622,0.65,8,6.004435555555555,0.028738542,-0.03479097,33,"{""type"":""MultiPoint"",""coordinates"":[]}"
