system:index,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,MSK_CLDPRB,SCL,hours_from_measurement,measurement_idx,ndvi,ndwi,.geo
0_0,0.492,0.735,0.5526,0.4716,0.6081,0.5795,0.5506,0.6173000000000001,0.608,0.6165,0.5762,0.6078,0.9652000000000001,0.91,9,52.1793825,0,0.022719204,0.0028554122,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,0.492,0.735,0.5526,0.4716,0.6081,0.5795,0.5506,0.6173000000000001,0.608,0.6165,0.5762,0.6078,0.9652000000000001,0.91,9,42.0793825,1,0.022719204,0.0028554122,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,0.612,0.0492,0.0346,0.0189,0.043300000000000005,0.0645,0.0485,0.0887,0.0898,0.08950000000000001,0.0682,0.0736,0.1009,0.0,7,3.728388888888889,2,0.1688089,-0.027882442,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0,0.6,0.044700000000000004,0.029300000000000003,0.0164,0.0398,0.0579,0.043500000000000004,0.0729,0.0678,0.06760000000000001,0.0565,0.056,0.0448,0.0,7,5.437474444444445,3,0.13,0.012237762,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0,0.6,1.3216,0.552,0.37020000000000003,1.1701000000000001,1.105,1.0686,0.9837,1.0051,1.0447,1.0118,1.0445,0.2459,1.0,9,3.394386388888889,4,-0.027302442,0.04402872,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0,0.606,1.3534000000000002,0.5534,0.3678,0.897,0.8733000000000001,0.8681000000000001,1.0050000000000001,1.0266,1.0651000000000002,0.8398,1.0563,0.24860000000000002,1.0,9,5.871474444444445,5,-0.016570058,0.019555192,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0,0.426,0.0053,0.0187,0.013000000000000001,0.0021000000000000003,0.0329,0.014100000000000001,0.0565,0.0345,0.0371,0.0273,0.0235,0.09040000000000001,0.0,7,3.11117,6,0.3188406,0.093023255,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0,0.324,0.014400000000000001,0.0181,0.0128,0.0109,0.0354,0.0184,0.052700000000000004,0.0308,0.0332,0.028300000000000002,0.0228,0.0738,0.0,7,5.854691388888889,7,0.21199143,0.11145997,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0,0.36,0.025500000000000002,0.0198,0.012,0.023100000000000002,0.0442,0.025500000000000002,0.0694,0.0613,0.06860000000000001,0.054900000000000004,0.0419,0.1729,0.0,3,44.50483694444444,8,0.36567163,-0.10797174,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0,0.36,0.025500000000000002,0.0198,0.012,0.023100000000000002,0.0442,0.025500000000000002,0.0694,0.0613,0.06860000000000001,0.054900000000000004,0.0419,0.1729,0.0,3,53.304836944444446,9,0.36567163,-0.10797174,"{""type"":""MultiPoint"",""coordinates"":[]}"
